sid,Country,Region,construction_period_start,construction_period_end,steel,copper,aluminum,unspecified_metal,wood,paper_cardboard,straw,concrete,cement,aggregates,brick,mortar_plaster,mineral_fill,plaster_board_gypsum,Adobe,asphalt,bitumen,natural_stone,cement_asbestos,Clay,glass,siding_unspecified,Ceramics,plastics,polystyrene,PVC,Linoleum,Carpet,Heraklith,mineral wool,insulation_unspecified,other_unspecified_material,building_description,no_floors,occupation,building_type,measurement_type,urban_rural,floor_area_type,Authors,publication_year,publication_title,publication_outlet,copyright_publication,DOI,URL,comment_scope,comment_conversion,comment_aggregation,comment_primary,comment_secondary,data_entry,global_region,climate_classification,equator_distance,heating_degree_days_0,heating_degree_days_1,cooling_degree_days_0,cooling_degree_days_1,country_land_area,population_0,population_1,urbanization_0,urbanization_1,gdp_0,gdp_1,hdi_0,hdi_1
32,CA,TOR,2021,2021,1876.2734,0,0.0,0,22101.0408,0,0,144513.533,0.0,22642.829999999998,38782.3,10509.8,0,9026.019,0,0.0,1818.91,0.0,0,0,1250.9593,0.0,0,92.27361,0,0,0,0,0,4523.820000000001,282.371,371.67449999999997,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
33,CA,TOR,2020,2020,342.6699,0,0.0,0,36262.8941,0,0,200811.96300000002,2189.62,35143.42,7404.790000000001,1800.851,0,15939.356999999998,0,2500.36,349.485,0.0,0,0,1265.21,9851.119999999999,0,86.63054999999999,0,0,0,0,0,9377.204,923.2996,264.5565,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,38005238.0,38005238.0,0.13,0.13,1736430000000.0,1736430000000.0,,
34,CA,TOR,2020,2020,327.0072,0,0.0,0,23655.863499999996,0,0,102602.17399999998,0.0,17565.3,0.0,255.268,0,5956.143999999999,0,588.523,148.06,1640.22,0,0,918.7959999999999,5224.31,0,55.12519700000001,0,0,0,0,0,4276.755999999999,0.0,17.70636,,6,,SMD,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,38005238.0,38005238.0,0.13,0.13,1736430000000.0,1736430000000.0,,
35,CA,TOR,2021,2021,54.737359999999995,0,0.0,0,29294.730999999992,0,0,133747.991,0.0,28812.7,38410.1,10408.9,0,9167.250000000002,0,2152.03,3250.65,0.0,0,0,980.904,0.0,0,103.757222,0,0,0,0,0,5802.0380000000005,449.006,294.8653,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
36,CA,TOR,2021,2021,1898.5111600000002,0,0.0,0,23395.281699999996,0,0,147110.093,0.0,22760.190000000002,38594.1,10458.8,0,7879.862,0,1702.4,1855.07,0.0,0,0,586.022,0.0,0,93.32909,0,0,0,0,0,3927.3320000000003,277.6725,290.789064,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
37,CA,TOR,2021,2021,87.26520000000001,0,0.0,0,30106.61139999999,0,0,209526.804,0.0,28951.9,31943.3,10543.6,0,9974.061000000002,0,2587.229,2819.22,11424.8,0,0,836.826,0.0,0,181.32882,0,0,0,0,0,5779.402999999999,0.0,262.2545,,4,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
38,CA,TOR,2020,2020,15683.342,0,0.0,0,49585.46860000001,0,0,286022.831,0.0,61017.34,20952.5,8973.02,0,12875.478,0,0.0,2627.4930000000004,23280.7,0,0,2289.386,709.964,0,207.1104,0,0,0,0,0,7285.2210000000005,585.073,256.7586,,4,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,38005238.0,38005238.0,0.13,0.13,1736430000000.0,1736430000000.0,,
39,CA,TOR,2021,2021,244.64909999999998,0,0.0,0,29570.161000000004,0,0,219899.04799999998,0.0,38381.65,38808.7,10516.9,0,11585.618,0,0.0,2858.38,0.0,0,0,5056.264,0.0,0,217.45121,0,0,0,0,0,10852.962,276.302,254.46419999999998,,4,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
40,US,NEW,2017,2017,904027.2365180267,0,0.0,0,0.0,0,0,4480922.847451793,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,,16,,EDU,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Cfa,4527,,,,,9833517,36545295.0,36545295.0,0.24,0.24,19519400000000.0,19519400000000.0,,
41,CA,TOR,2021,2021,27.506539999999998,0,0.0,0,22776.718000000008,0,0,120093.363,0.0,25742.120000000003,31613.4,8071.88,0,9249.544,0,1394.26,2051.19,0.0,0,0,784.4381999999999,0.0,0,110.62454000000001,0,0,0,0,0,5397.527,246.601,291.08418700000004,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
